cnn6cequal
Initial validation accuracy: 9.09%
Round 245 validation accuracy: 42.99
Round 250 validation accuracy: 37.31
Round 255 validation accuracy: 47.73
Round 260 validation accuracy: 34.09
Round 265 validation accuracy: 47.54
Round 270 validation accuracy: 44.89
Round 275 validation accuracy: 53.22
Round 280 validation accuracy: 46.40
Round 285 validation accuracy: 53.41
Round 290 validation accuracy: 50.19
Round 295 validation accuracy: 52.46
Round 300 validation accuracy: 53.79

cnn6cequal
Initial validation accuracy: 9.09%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 14.77
Round 25 validation accuracy: 14.20
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 10.23
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 14.20
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 14.20
Round 60 validation accuracy: 13.45
Round 65 validation accuracy: 16.29
Round 70 validation accuracy: 17.42
Round 75 validation accuracy: 19.13
Round 80 validation accuracy: 17.42
Round 85 validation accuracy: 15.53
Round 90 validation accuracy: 17.99
Round 95 validation accuracy: 21.59
Round 100 validation accuracy: 19.51
Round 105 validation accuracy: 27.65
Round 110 validation accuracy: 26.89
Round 115 validation accuracy: 22.16
Round 120 validation accuracy: 30.30
Round 125 validation accuracy: 27.46
Round 130 validation accuracy: 28.41
Round 135 validation accuracy: 33.71
Round 140 validation accuracy: 29.92
Round 145 validation accuracy: 36.74
Round 150 validation accuracy: 35.23
Round 155 validation accuracy: 39.20
Round 160 validation accuracy: 33.71
Round 165 validation accuracy: 30.68
Round 170 validation accuracy: 34.09
Round 175 validation accuracy: 28.03
Round 180 validation accuracy: 41.10
Round 185 validation accuracy: 38.26
Round 190 validation accuracy: 35.23
Round 195 validation accuracy: 39.96
Round 200 validation accuracy: 45.45
Round 205 validation accuracy: 44.89
Round 210 validation accuracy: 46.78
Round 215 validation accuracy: 51.14
Round 220 validation accuracy: 50.38
Round 225 validation accuracy: 51.14
Round 230 validation accuracy: 55.49
Round 235 validation accuracy: 54.92
Round 240 validation accuracy: 53.98
Round 245 validation accuracy: 57.20
Round 250 validation accuracy: 57.01
Round 255 validation accuracy: 58.14
Round 260 validation accuracy: 59.47
Round 265 validation accuracy: 59.85
Round 270 validation accuracy: 62.31
Round 275 validation accuracy: 62.50
Round 280 validation accuracy: 57.58
Round 285 validation accuracy: 60.98
Round 290 validation accuracy: 65.15
Round 295 validation accuracy: 64.02
Round 300 validation accuracy: 64.39


Initial validation accuracy: 11.36%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 9.09
Round 30 validation accuracy: 9.09
Round 35 validation accuracy: 9.09
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 9.09
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 9.09
Round 60 validation accuracy: 9.09
Round 65 validation accuracy: 9.09
Round 70 validation accuracy: 9.09
Round 75 validation accuracy: 9.09
Round 80 validation accuracy: 9.09
Round 85 validation accuracy: 9.09
Round 90 validation accuracy: 9.09
Round 95 validation accuracy: 9.09
Round 100 validation accuracy: 9.09
Round 105 validation accuracy: 9.09
Round 110 validation accuracy: 9.09

Initial validation accuracy: 8.14%
Round 5 validation accuracy: 9.09
Round 10 validation accuracy: 9.09
Round 15 validation accuracy: 9.09
Round 20 validation accuracy: 9.09
Round 25 validation accuracy: 12.69
Round 30 validation accuracy: 11.17
Round 35 validation accuracy: 11.36
Round 40 validation accuracy: 9.09
Round 45 validation accuracy: 9.09
Round 50 validation accuracy: 9.09
Round 55 validation accuracy: 10.98
Round 60 validation accuracy: 13.45
Round 65 validation accuracy: 12.12
Round 70 validation accuracy: 11.36
Round 75 validation accuracy: 14.39
Round 80 validation accuracy: 18.37
Round 85 validation accuracy: 17.99
Round 90 validation accuracy: 18.37
Round 95 validation accuracy: 20.27
Round 100 validation accuracy: 16.48
Round 105 validation accuracy: 19.13
Round 110 validation accuracy: 28.98
Round 115 validation accuracy: 28.22
Round 120 validation accuracy: 28.98
Round 125 validation accuracy: 32.58
Round 130 validation accuracy: 33.14
Round 135 validation accuracy: 33.33
Round 140 validation accuracy: 29.73
Round 145 validation accuracy: 36.17
Round 150 validation accuracy: 39.20
Round 155 validation accuracy: 32.58
Round 160 validation accuracy: 41.67
Round 165 validation accuracy: 39.02
Round 170 validation accuracy: 38.64
Round 175 validation accuracy: 39.39
Round 180 validation accuracy: 42.80
Round 185 validation accuracy: 33.90
Round 190 validation accuracy: 45.83
Round 195 validation accuracy: 44.51
Round 200 validation accuracy: 45.64
Round 205 validation accuracy: 44.70
Round 210 validation accuracy: 47.92
Round 215 validation accuracy: 46.97
Round 220 validation accuracy: 51.33
Round 225 validation accuracy: 48.30
Round 230 validation accuracy: 51.14
Round 235 validation accuracy: 49.43
Round 240 validation accuracy: 52.46
Round 245 validation accuracy: 51.70
Round 250 validation accuracy: 54.36
Round 255 validation accuracy: 56.82
Round 260 validation accuracy: 53.41
Round 265 validation accuracy: 58.52
Round 270 validation accuracy: 60.42
Round 275 validation accuracy: 59.09
Round 280 validation accuracy: 61.74
Round 285 validation accuracy: 62.50
Round 290 validation accuracy: 63.64
Round 295 validation accuracy: 61.55
Round 300 validation accuracy: 61.93



Initial validation accuracy: 9.28%
